batch,edit_entropy,strategy_divergence,niche_occupancy,unique_edit_types
1,0.0000,0.0000,6,2
2,-0.0000,0.0000,10,2
3,-0.0000,0.0000,15,2
4,-0.0000,0.0000,19,2
5,-0.0000,0.0000,24,2
6,-0.0000,0.0000,27,2
7,-0.0000,0.0000,30,3
8,-0.0000,0.0000,31,2
9,-0.0000,0.0000,33,3
10,-0.0000,0.0000,34,2
11,-0.0000,0.0000,34,3
12,-0.0000,0.0000,34,2
13,-0.0000,0.0000,31,3
14,-0.0000,0.0000,31,2
15,-0.0000,0.0000,28,3
16,-0.0000,0.0000,28,3
17,-0.0000,0.0000,27,3
18,-0.0000,0.0000,25,2
19,-0.0000,0.0000,23,3
20,-0.0000,0.0000,23,3
